Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Capital Gains
2000-01-03,93.66472382785221,93.66472382785221,90.90058779583296,91.88777923583984,8164300,0.0,0.0,0.0
2000-01-04,90.6833828719656,91.0190278771525,88.22527680456746,88.29438018798828,8089800,0.0,0.0,0.0
2000-01-05,88.41285152094704,89.419786632061,86.71488251004901,88.45233917236328,12177900,0.0,0.0,0.0
2000-01-06,88.21541416147444,89.40004371601528,87.0307846069336,87.0307846069336,6227200,0.0,0.0,0.0
2000-01-07,88.64980871027167,92.08523559570312,88.49185804887252,92.08523559570312,8066500,0.0,0.0,0.0
2000-01-10,92.40110778808594,92.8157281435453,91.63109855651857,92.40110778808594,5741700,0.0,0.0,0.0
2000-01-11,92.12468896687649,92.30238339480232,90.66364589281973,91.29544830322266,7503700,0.0,0.0,0.0
2000-01-12,91.35470046763756,91.35470046763756,90.26878982883919,90.38725280761719,6907700,0.0,0.0,0.0
2000-01-13,91.27572118002793,92.08521816648286,90.52545568038677,91.61136627197266,5158300,0.0,0.0,0.0
2000-01-14,92.57875015936885,93.1710646197615,92.22336148313327,92.85516357421875,7437300,0.0,0.0,0.0
2000-01-18,91.8285450303805,92.6380419872168,91.7298258893029,92.12470245361328,6488500,0.0,0.0,0.0
2000-01-19,91.80878765729008,92.8749542236328,91.61134940426365,92.87495422363281,6157900,0.0,0.0,0.0
2000-01-20,92.85523450683435,92.85523450683435,90.86110763352151,91.45342254638672,5800100,0.0,0.0,0.0
2000-01-21,91.9272255462158,91.9272255462158,91.01900982990868,91.25593566894531,6244800,0.0,0.0,0.0
2000-01-24,92.02599941874581,92.14446240877209,88.07723308453659,88.66954803466797,7896900,0.0,0.0,0.0
2000-01-25,88.77813881622544,89.67648315429688,87.82056298333609,89.67648315429688,9942500,0.0,0.0,0.0
2000-01-26,89.08413830387609,89.42965524100326,88.5115673794939,88.9656753540039,5158100,0.0,0.0,0.0
2000-01-27,89.61718706651168,89.85411287501535,87.26767279885031,88.6102523803711,10922700,0.0,0.0,0.0
2000-01-28,88.09698068360835,88.49185733391587,85.62900161918634,85.84618377685547,11916200,0.0,0.0,0.0
2000-01-31,85.8066671075065,88.24502959894163,85.29332763562542,88.1759262084961,10768700,0.0,0.0,0.0
2000-02-01,88.29442728723497,89.51854501796139,87.52441774693932,89.04469299316406,8419900,0.0,0.0,0.0
